scenario_id,tier_config,ground_truth_class,analytic_verdict,empirical_verdict,agree,analytic_rule,empirical_rule,divergence_direction
01_genuine_target,0,AUTHENTIC_TARGET,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
01_genuine_target,0+A,AUTHENTIC_TARGET,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
01_genuine_target,0+A+B,AUTHENTIC_TARGET,AUTHENTIC_TARGET,UNKNOWN,False,R_surface_is_declared_application,R5_no_display_fields_fullscreen,AUTHENTIC_TARGET->UNKNOWN
01_genuine_target,0+A+B+C,AUTHENTIC_TARGET,AUTHENTIC_TARGET,UNKNOWN,False,R_surface_is_declared_application,R5_no_display_fields_fullscreen,AUTHENTIC_TARGET->UNKNOWN
01_genuine_target,0+A+B+C+D,AUTHENTIC_TARGET,AUTHENTIC_TARGET,AUTHENTIC_TARGET,True,R_surface_is_declared_application,R_displayed_resource_is_target,
01_genuine_target,0+A+B+C+D+E,AUTHENTIC_TARGET,AUTHENTIC_TARGET,AUTHENTIC_TARGET,True,R_surface_is_declared_application,R_displayed_resource_is_target,
01_genuine_target,FULL(0+A..F),AUTHENTIC_TARGET,AUTHENTIC_TARGET,AUTHENTIC_TARGET,True,R_surface_is_declared_application,R_displayed_resource_is_target,
01_genuine_target,iso:D,AUTHENTIC_TARGET,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
01_genuine_target,iso:B,AUTHENTIC_TARGET,AUTHENTIC_TARGET,UNKNOWN,False,R_surface_is_declared_application,R5_no_display_fields_fullscreen,AUTHENTIC_TARGET->UNKNOWN
01_genuine_target,iso:C,AUTHENTIC_TARGET,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
01_genuine_target,iso:E,AUTHENTIC_TARGET,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
01_genuine_target,SENS:no_resource_lineage,AUTHENTIC_TARGET,AUTHENTIC_TARGET,AUTHENTIC_TARGET,True,R_surface_is_declared_application,R_displayed_resource_is_target,
01_genuine_target,SENS:no_resource_lineage_no_browser_url,AUTHENTIC_TARGET,AUTHENTIC_TARGET,AUTHENTIC_TARGET,True,R_surface_is_declared_application,R_displayed_resource_is_target,
02_tk_honest_title,0,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
02_tk_honest_title,0+A,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
02_tk_honest_title,0+A+B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
02_tk_honest_title,0+A+B+C,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
02_tk_honest_title,0+A+B+C+D,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
02_tk_honest_title,0+A+B+C+D+E,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
02_tk_honest_title,FULL(0+A..F),SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
02_tk_honest_title,iso:D,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R3_no_identity_binding,R3_no_identity_binding,
02_tk_honest_title,iso:B,SUBSTITUTE,SUBSTITUTE,UNKNOWN,False,R_surface_is_interpreter_not_target,R5_no_display_fields_fullscreen,SUBSTITUTE->UNKNOWN
02_tk_honest_title,iso:C,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
02_tk_honest_title,iso:E,SUBSTITUTE,UNKNOWN,UNKNOWN,True,R1_no_surface_evidence,R1_no_surface_evidence,
02_tk_honest_title,SENS:no_resource_lineage,SUBSTITUTE,SUBSTITUTE,SUBSTITUTE,True,R_surface_is_interpreter_not_target,R_displayed_resource_is_not_target,
