case_id,attack,ground_truth_class,tier_config,fields_available,trust_planes,predicted_verdict,actual_verdict,false_accept,false_reject,abstention,abstention_correct,abstention_failure,out_of_scope_case,attack_mechanism,evidence_used,contract_rule_invoked,defeated_tier,matches_prediction,reproducible,note
01_genuine_target,control,AUTHENTIC_TARGET,0,capture_scope|evidence_modality|expected_renderer_identity|target_application|target_kind|target_resource,0,,UNKNOWN,False,False,True,False,True,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg,R1_no_surface_evidence,False,,True,neither display nor process fields
01_genuine_target,control,AUTHENTIC_TARGET,0+A,capture_scope|evidence_modality|expected_renderer_identity|target_application|target_kind|target_resource|window_title|wm_class,0|A,,UNKNOWN,False,False,True,False,True,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg,R1_no_surface_evidence,False,,True,neither display nor process fields
01_genuine_target,control,AUTHENTIC_TARGET,0+A+B,active_pid|capture_scope|command_line|evidence_modality|executable_path|expected_renderer_identity|process_start_identity|target_application|target_kind|target_resource|window_title|wm_class,0|A|B,,AUTHENTIC_TARGET,False,False,False,False,False,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg ; assumed_surface_from_process=krita:4101 ; executable=krita ; command_line='krita /work/source_rgb.jpg',R_surface_is_declared_application,False,,True,resolved surface is backed by the declared target application
01_genuine_target,control,AUTHENTIC_TARGET,0+A+B+C,active_pid|agent_written_code_lineage|capture_scope|command_line|content_hash|displayed_resource_lineage|evidence_modality|executable_path|expected_renderer_identity|process_start_identity|target_application|target_kind|target_resource|window_title|wm_class,0|A|B|C,,AUTHENTIC_TARGET,False,False,False,False,False,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg ; assumed_surface_from_process=krita:4101 ; executable=krita ; command_line='krita /work/source_rgb.jpg' ; code_lineage=not_agent_authored,R_surface_is_declared_application,False,,True,resolved surface is backed by the declared target application
01_genuine_target,control,AUTHENTIC_TARGET,0+A+B+C+D,active_pid|active_window_identity|agent_written_code_lineage|capture_region|capture_scope|command_line|content_hash|displayed_resource_lineage|evidence_modality|executable_path|expected_renderer_identity|process_start_identity|target_application|target_kind|target_resource|visible_window_set|window_geometry|window_title|wm_class|z_order,0|A|B|C|D,,AUTHENTIC_TARGET,False,False,False,False,False,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg ; capture_region=window:0x2c0001b ; visible_window_set=['krita:4101'] ; z_order=['krita:4101'] ; resolved_surface=krita:4101 ; executable=krita ; command_line='krita /work/source_rgb.jpg' ; code_lineage=not_agent_authored,R_surface_is_declared_application,False,,True,resolved surface is backed by the declared target application
01_genuine_target,control,AUTHENTIC_TARGET,0+A+B+C+D+E,active_pid|active_window_identity|agent_written_code_lineage|browser_tab_id|browser_url|capture_region|capture_scope|command_line|content_hash|displayed_resource_lineage|document_instance_id|evidence_modality|executable_path|expected_renderer_identity|process_start_identity|target_application|target_kind|target_resource|visible_window_set|window_geometry|window_title|wm_class|z_order,0|A|B|C|D|E,,AUTHENTIC_TARGET,False,False,False,False,False,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg ; capture_region=window:0x2c0001b ; visible_window_set=['krita:4101'] ; z_order=['krita:4101'] ; resolved_surface=krita:4101 ; executable=krita ; command_line='krita /work/source_rgb.jpg' ; code_lineage=not_agent_authored,R_surface_is_declared_application,False,,True,resolved surface is backed by the declared target application
01_genuine_target,control,AUTHENTIC_TARGET,FULL(0+A..F),active_pid|active_window_identity|agent_written_code_lineage|browser_tab_id|browser_url|capture_region|capture_scope|command_line|content_hash|displayed_resource_lineage|document_instance_id|evidence_modality|executable_path|expected_renderer_identity|process_start_identity|record_signature|target_application|target_kind|target_resource|visible_window_set|window_geometry|window_title|wm_class|z_order,0|A|B|C|D|E|F,AUTHENTIC_TARGET,AUTHENTIC_TARGET,False,False,False,False,False,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg ; capture_region=window:0x2c0001b ; visible_window_set=['krita:4101'] ; z_order=['krita:4101'] ; resolved_surface=krita:4101 ; executable=krita ; command_line='krita /work/source_rgb.jpg' ; code_lineage=not_agent_authored,R_surface_is_declared_application,False,True,True,resolved surface is backed by the declared target application
01_genuine_target,control,AUTHENTIC_TARGET,iso:D,active_window_identity|capture_region|capture_scope|evidence_modality|expected_renderer_identity|target_application|target_kind|target_resource|visible_window_set|window_geometry|z_order,0|D,,UNKNOWN,False,False,True,False,True,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg ; capture_region=window:0x2c0001b ; visible_window_set=['krita:4101'] ; z_order=['krita:4101'] ; resolved_surface=krita:4101,R3_no_identity_binding,False,,True,surface resolved but no process identity; labels cannot confirm
01_genuine_target,control,AUTHENTIC_TARGET,iso:B,active_pid|capture_scope|command_line|evidence_modality|executable_path|expected_renderer_identity|process_start_identity|target_application|target_kind|target_resource,0|B,,AUTHENTIC_TARGET,False,False,False,False,False,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg ; assumed_surface_from_process=krita:4101 ; executable=krita ; command_line='krita /work/source_rgb.jpg',R_surface_is_declared_application,False,,True,resolved surface is backed by the declared target application
01_genuine_target,control,AUTHENTIC_TARGET,iso:C,agent_written_code_lineage|capture_scope|content_hash|displayed_resource_lineage|evidence_modality|expected_renderer_identity|target_application|target_kind|target_resource,0|C,,UNKNOWN,False,False,True,False,True,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg,R1_no_surface_evidence,False,,True,neither display nor process fields
01_genuine_target,control,AUTHENTIC_TARGET,iso:E,browser_tab_id|browser_url|capture_scope|document_instance_id|evidence_modality|expected_renderer_identity|target_application|target_kind|target_resource,0|E,,UNKNOWN,False,False,True,False,True,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg,R1_no_surface_evidence,False,,True,neither display nor process fields
01_genuine_target,control,AUTHENTIC_TARGET,SENS:no_resource_lineage,active_pid|active_window_identity|agent_written_code_lineage|browser_tab_id|browser_url|capture_region|capture_scope|command_line|content_hash|displayed_resource_lineage|document_instance_id|evidence_modality|executable_path|expected_renderer_identity|process_start_identity|target_application|target_kind|target_resource|visible_window_set|window_geometry|window_title|wm_class|z_order,0|A|B|C|D|E,,AUTHENTIC_TARGET,False,False,False,False,False,False,control,target_kind=application ; target_application=krita ; target_resource=/work/source_rgb.jpg ; capture_region=window:0x2c0001b ; visible_window_set=['krita:4101'] ; z_order=['krita:4101'] ; resolved_surface=krita:4101 ; executable=krita ; command_line='krita /work/source_rgb.jpg' ; code_lineage=not_agent_authored,R_surface_is_declared_application,False,,True,resolved surface is backed by the declared target application
