run,task,domain,case_id,quote_id,current_R_level,capture_channel,current_scene_class,source_confidence,source_kind,ambiguity_reason,bundle_id,bundle_fields,missing_field_category,would_field_resolve_historical_case,eligible,evidence_refs,notes
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,VISIBLE_WINDOW_SET,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"enumerating mapped windows with stacking and the captured rectangle bounds what the pixels could depict, including composite scenes"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,Z_ORDER,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"enumerating mapped windows with stacking and the captured rectangle bounds what the pixels could depict, including composite scenes"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,CAPTURE_REGION,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"enumerating mapped windows with stacking and the captured rectangle bounds what the pixels could depict, including composite scenes"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,WINDOW_GEOMETRY,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"enumerating mapped windows with stacking and the captured rectangle bounds what the pixels could depict, including composite scenes"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_focus,ACTIVE_WINDOW_IDENTITY+ACTIVE_PID+CAPTURE_REGION,ACTIVE_WINDOW_IDENTITY,uncertain,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"names the foreground owner, but a full-screen grab may still contain other windows; decisive only for a window-scoped capture"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_focus,ACTIVE_WINDOW_IDENTITY+ACTIVE_PID+CAPTURE_REGION,ACTIVE_PID,uncertain,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"names the foreground owner, but a full-screen grab may still contain other windows; decisive only for a window-scoped capture"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_focus,ACTIVE_WINDOW_IDENTITY+ACTIVE_PID+CAPTURE_REGION,CAPTURE_REGION,uncertain,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"names the foreground owner, but a full-screen grab may still contain other windows; decisive only for a window-scoped capture"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_labels,WINDOW_TITLE+WM_CLASS,WINDOW_TITLE,no,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"human-readable labels narrow the candidate set but never bind the scene, and both are agent-choosable"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_labels,WINDOW_TITLE+WM_CLASS,WM_CLASS,no,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"human-readable labels narrow the candidate set but never bind the scene, and both are agent-choosable"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_owner,ACTIVE_WINDOW_IDENTITY+ACTIVE_PID,ACTIVE_WINDOW_IDENTITY,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),the actual scene owner is a process the trace never names; focus identity supplies it directly
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_owner,ACTIVE_WINDOW_IDENTITY+ACTIVE_PID,ACTIVE_PID,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),the actual scene owner is a process the trace never names; focus identity supplies it directly
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_owner_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,VISIBLE_WINDOW_SET,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"alternatively, enumerating the visible set names the owner"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_owner_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,Z_ORDER,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"alternatively, enumerating the visible set names the owner"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_owner_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,CAPTURE_REGION,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"alternatively, enumerating the visible set names the owner"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_owner_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,WINDOW_GEOMETRY,yes,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),"alternatively, enumerating the visible set names the owner"
run1,DAV_task_10_polars_streamlit_xfilter,DAV,run1:DAV_task_10_polars_streamlit_xfilter:view_streamlit_overview.png@e53,,2,shell_routed,UNKNOWN,UNKNOWN,unknown,nearest_launch_is_non_gui_script:optimized_query.py,B_trigger,CAPTURE_TRIGGER_ACTION_ID,CAPTURE_TRIGGER_ACTION_ID,no,yes,PRODUCED_BY(/tmp_workspace/results/view_streamlit_overview.png->event:53:exec|EXACT|event:53:shell_capture_f);DELIVERED_AS(/tmp_workspace/results/view_streamlit_overview.png->view_streamlit_overview.png|EXACT|results_manifest),binds the image file to the triggering action but says nothing about the scene
run1,DAV_task_11_dbt_lineage_docs_cycle,DAV,run1:DAV_task_11_dbt_lineage_docs_cycle:view_dbt_column_lineage.png@e133,,2,browser,UNKNOWN,UNKNOWN,unknown,no_launch_or_window_evidence_within_lookback,B_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,VISIBLE_WINDOW_SET,yes,no_target_defined,PRODUCED_BY(/tmp_workspace/results/view_dbt_column_lineage.png->event:133:exec|EXACT|event:133:browser_shot);DELIVERED_AS(/tmp_workspace/results/view_dbt_column_lineage.png->view_dbt_column_lineage.png|EXACT|results_manifest),"enumerating mapped windows with stacking and the captured rectangle bounds what the pixels could depict, including composite scenes"
run1,DAV_task_11_dbt_lineage_docs_cycle,DAV,run1:DAV_task_11_dbt_lineage_docs_cycle:view_dbt_column_lineage.png@e133,,2,browser,UNKNOWN,UNKNOWN,unknown,no_launch_or_window_evidence_within_lookback,B_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,Z_ORDER,yes,no_target_defined,PRODUCED_BY(/tmp_workspace/results/view_dbt_column_lineage.png->event:133:exec|EXACT|event:133:browser_shot);DELIVERED_AS(/tmp_workspace/results/view_dbt_column_lineage.png->view_dbt_column_lineage.png|EXACT|results_manifest),"enumerating mapped windows with stacking and the captured rectangle bounds what the pixels could depict, including composite scenes"
run1,DAV_task_11_dbt_lineage_docs_cycle,DAV,run1:DAV_task_11_dbt_lineage_docs_cycle:view_dbt_column_lineage.png@e133,,2,browser,UNKNOWN,UNKNOWN,unknown,no_launch_or_window_evidence_within_lookback,B_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,CAPTURE_REGION,yes,no_target_defined,PRODUCED_BY(/tmp_workspace/results/view_dbt_column_lineage.png->event:133:exec|EXACT|event:133:browser_shot);DELIVERED_AS(/tmp_workspace/results/view_dbt_column_lineage.png->view_dbt_column_lineage.png|EXACT|results_manifest),"enumerating mapped windows with stacking and the captured rectangle bounds what the pixels could depict, including composite scenes"
run1,DAV_task_11_dbt_lineage_docs_cycle,DAV,run1:DAV_task_11_dbt_lineage_docs_cycle:view_dbt_column_lineage.png@e133,,2,browser,UNKNOWN,UNKNOWN,unknown,no_launch_or_window_evidence_within_lookback,B_composite,VISIBLE_WINDOW_SET+Z_ORDER+CAPTURE_REGION+WINDOW_GEOMETRY,WINDOW_GEOMETRY,yes,no_target_defined,PRODUCED_BY(/tmp_workspace/results/view_dbt_column_lineage.png->event:133:exec|EXACT|event:133:browser_shot);DELIVERED_AS(/tmp_workspace/results/view_dbt_column_lineage.png->view_dbt_column_lineage.png|EXACT|results_manifest),"enumerating mapped windows with stacking and the captured rectangle bounds what the pixels could depict, including composite scenes"
run1,DAV_task_11_dbt_lineage_docs_cycle,DAV,run1:DAV_task_11_dbt_lineage_docs_cycle:view_dbt_column_lineage.png@e133,,2,browser,UNKNOWN,UNKNOWN,unknown,no_launch_or_window_evidence_within_lookback,B_focus,ACTIVE_WINDOW_IDENTITY+ACTIVE_PID+CAPTURE_REGION,ACTIVE_WINDOW_IDENTITY,uncertain,no_target_defined,PRODUCED_BY(/tmp_workspace/results/view_dbt_column_lineage.png->event:133:exec|EXACT|event:133:browser_shot);DELIVERED_AS(/tmp_workspace/results/view_dbt_column_lineage.png->view_dbt_column_lineage.png|EXACT|results_manifest),"names the foreground owner, but a full-screen grab may still contain other windows; decisive only for a window-scoped capture"
run1,DAV_task_11_dbt_lineage_docs_cycle,DAV,run1:DAV_task_11_dbt_lineage_docs_cycle:view_dbt_column_lineage.png@e133,,2,browser,UNKNOWN,UNKNOWN,unknown,no_launch_or_window_evidence_within_lookback,B_focus,ACTIVE_WINDOW_IDENTITY+ACTIVE_PID+CAPTURE_REGION,ACTIVE_PID,uncertain,no_target_defined,PRODUCED_BY(/tmp_workspace/results/view_dbt_column_lineage.png->event:133:exec|EXACT|event:133:browser_shot);DELIVERED_AS(/tmp_workspace/results/view_dbt_column_lineage.png->view_dbt_column_lineage.png|EXACT|results_manifest),"names the foreground owner, but a full-screen grab may still contain other windows; decisive only for a window-scoped capture"
run1,DAV_task_11_dbt_lineage_docs_cycle,DAV,run1:DAV_task_11_dbt_lineage_docs_cycle:view_dbt_column_lineage.png@e133,,2,browser,UNKNOWN,UNKNOWN,unknown,no_launch_or_window_evidence_within_lookback,B_focus,ACTIVE_WINDOW_IDENTITY+ACTIVE_PID+CAPTURE_REGION,CAPTURE_REGION,uncertain,no_target_defined,PRODUCED_BY(/tmp_workspace/results/view_dbt_column_lineage.png->event:133:exec|EXACT|event:133:browser_shot);DELIVERED_AS(/tmp_workspace/results/view_dbt_column_lineage.png->view_dbt_column_lineage.png|EXACT|results_manifest),"names the foreground owner, but a full-screen grab may still contain other windows; decisive only for a window-scoped capture"
