row,platform,case,binding_id,binding,evidence,observer,mechanism,supporting_evidence,native_or_reconstructed,attacker_controls_reported_state,note
X11 Case P,x11,P,1_artifact_to_capture,artifact -> capture,EXACT,TRUSTED_RECORDER_OBSERVED,X11 root-window pixel grab (ImageMagick import),sha256=314f00e1c77cfc840242f0753a4031f12f36fe700d003db9017997c1ed10119b bytes=18321 geometry=1280x1024,platform-native,no,ANY X client with display access can perform this same root grab; the capture path itself is not privileged
X11 Case P,x11,P,2_capture_to_surface,capture -> surface,WEAK,TRUSTED_RECORDER via X11 root grab,root window / full screen,"requested_source_type=root window / full screen; contributors=['0x00800004', '0x00a00003']",reconstructed,yes - the attacker chooses which surfaces exist and how they are stacked,2 surfaces were mapped and all overlap the captured region; nothing in the capture attributes any pixel to any surface
X11 Case P,x11,P,3_surface_to_process,surface -> process/client,EXACT,COMPOSITOR/DISPLAY_SERVER (X server),wmctrl -lpG + xwininfo -root -children + XResQueryClientIds for the owning pid,active_surface=0x00a00003 pid=180 pid_source=X-Resource XResQueryClientIds exe=/usr/bin/python3.11 start_identity=180@4360 uid=1000,platform-native via X-Resource extension correlation,"pid/exe: NO (cannot forge, but chooses what to launch); identity string: YES - platform reports 'eog', which the client asserts",requires XResQueryClientIds correlation; _NET_WM_PID is client-asserted
X11 Case P,x11,P,4_process_to_resource,process/client -> displayed resource,UNKNOWN,"KERNEL/RUNTIME (argv, fds) - NOT the compositor",/proc/<pid>/cmdline and /proc/<pid>/fd at the capture instant,argv='python3 /lab/work/substitute_surface.py eog quarterly_report.png'; open_regular_files=[]; declared_target=/lab/work/quarterly_report.png; compositor_reported_resource=None,reconstructed,yes - the attacker chooses argv and authors the bytes behind the path,no observation from either platform discloses which resource the surface is displaying
X11 Case P,x11,P,5_resource_to_appstate,displayed resource -> application state,UNKNOWN,none,not instrumented - predeclared out of scope (A9),no field on either platform reports application state,n/a,yes,not tested; nothing here is progress on this edge
X11 Case P,x11,P,6_appstate_to_claim,application state -> claim,UNKNOWN,none,never attempted,-,n/a,n/a,claim integrity is outside the display layer by construction
WAYLAND Case P,wayland,P,1_artifact_to_capture,artifact -> capture,EXACT,TRUSTED_RECORDER_OBSERVED,wlr-screencopy-unstable-v1 via grim,sha256=91650fa2ad559e37800cc6d02410555cdd3372298932fc4be6a788ea726a6154 bytes=25505 geometry=1280x1024,platform-native,no,capture path is mediated by the compositor; no client can read another client's buffer
WAYLAND Case P,wayland,P,2_capture_to_surface,capture -> surface,WEAK,COMPOSITOR (sway) via wlr-screencopy,output:HEADLESS-1,"requested_source_type=output:HEADLESS-1; contributors=['5', '6'] Standard portal offers WINDOW source: False (AvailableSourceTypes bitmask=1); the capture used here is output-scoped.",reconstructed,yes - the attacker chooses which surfaces exist and how they are stacked,2 surfaces were mapped and all overlap the captured region; nothing in the capture attributes any pixel to any surface
WAYLAND Case P,wayland,P,3_surface_to_process,surface -> process/client,EXACT,COMPOSITOR (sway),"sway IPC `swaymsg -t get_tree` - COMPOSITOR-SPECIFIC IPC, not a Wayland protocol and not the xdg-desktop-portal API",active_surface=6 pid=357 pid_source=sway IPC get_tree (compositor-observed client pid) exe=/usr/bin/python3.11 start_identity=357@5560 uid=1000,platform-native (compositor's own tree),"pid/exe: NO (cannot forge, but chooses what to launch); identity string: YES - platform reports 'eog', which the client asserts",compositor reports the owning client pid as a first-class field
WAYLAND Case P,wayland,P,4_process_to_resource,process/client -> displayed resource,UNKNOWN,"KERNEL/RUNTIME (argv, fds) - NOT the compositor",/proc/<pid>/cmdline and /proc/<pid>/fd at the capture instant,argv='python3 /lab/work/substitute_surface.py eog quarterly_report.png'; open_regular_files=['/memfd:wayland-cursor (deleted)']; declared_target=/lab/work/quarterly_report.png; compositor_reported_resource=None,reconstructed,yes - the attacker chooses argv and authors the bytes behind the path,no observation from either platform discloses which resource the surface is displaying
