run,task,archive_url,archive_member_path,member_basename,content_length_uncompressed,content_length_compressed,sha256,fetch_timestamp_utc,zip_crc32
run1,DAV_task_0_spyder_step_debug,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_0_spyder_step_debug/chat.jsonl,chat.jsonl,12461201,9337199,a029b9d718c7f82a6f8d4495f9bcfc218bd93f8df9c749ef170bc1dc70a7a7b5,2026-09-08T18:50:21Z,c4a92ad9
run1,DAV_task_0_spyder_step_debug,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_0_spyder_step_debug/results_manifest.txt,results_manifest.txt,1222,328,a5640c22b3de14d265ed9f5f938275be41e238e12ebb54e7c21ad64ddaca6acf,2026-09-08T18:30:44Z,13dd8b59
run1,DAV_task_0_spyder_step_debug,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_0_spyder_step_debug/score.json,score.json,21074,4616,8642969618e4d9aec1aa02f079cd09a49d5bd207fc006535ab69399fc42375a9,2026-09-08T18:30:48Z,da9db644
run1,DAV_task_10_polars_streamlit_xfilter,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_10_polars_streamlit_xfilter/chat.jsonl,chat.jsonl,2550334,1676199,07dbcdec4c71ef165e99a5508e0edc9f88ef40a9f0b87b158b7665f81589141e,2026-09-08T18:50:25Z,32167441
run1,DAV_task_10_polars_streamlit_xfilter,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_10_polars_streamlit_xfilter/results_manifest.txt,results_manifest.txt,2296,613,a3f10c8a0b813c137671a5b4c613f3e0c01b560a548153c2a3f22cef9f7704f0,2026-09-08T18:30:53Z,2780e1ef
run1,DAV_task_10_polars_streamlit_xfilter,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_10_polars_streamlit_xfilter/score.json,score.json,47140,10052,790baa656cc5d5bad89c0ae1ad79cca504d127cfa0bde66698ab5f9192385398,2026-09-08T18:30:55Z,2a4a977b
run1,DAV_task_11_dbt_lineage_docs_cycle,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_11_dbt_lineage_docs_cycle/chat.jsonl,chat.jsonl,4093777,2739784,c3be3a6054495c07c95ad10f260debbf0d77ffd026ddc2d792d204fd3aa74968,2026-09-08T18:50:28Z,13ccda9c
run1,DAV_task_11_dbt_lineage_docs_cycle,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_11_dbt_lineage_docs_cycle/results_manifest.txt,results_manifest.txt,39314,4759,fc8e7de4eb2a2a33763aa56ec8ebb6f9b03f073ee13f67a1c4a592bb9997e4f4,2026-09-08T18:30:58Z,f9539c60
run1,DAV_task_11_dbt_lineage_docs_cycle,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_11_dbt_lineage_docs_cycle/score.json,score.json,32594,6393,60a0031ecf238b779b36fca9f945d34531b4e689e89cac3d2e145f823a69b092,2026-09-08T18:31:01Z,23775330
run1,DAV_task_12_airflow_dag_sla_gantt,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_12_airflow_dag_sla_gantt/score.json,score.json,576,368,b139ed65bdff6dea9c6ae24faabbf87f7f8ef40c785bdd018c5fedf9bc433738,2026-09-08T18:31:03Z,9866ff7d
run1,DAV_task_16_prometheus_alert_silence_grafana,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_16_prometheus_alert_silence_grafana/score.json,score.json,34807,6704,be757e3bb540a8d16c8c62f536f5ed32daa969ba758eda63bcacf5cc3be5e303,2026-09-08T18:31:07Z,c3a867e5
run1,DAV_task_17_jaeger_trace_root_cause_compare,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_17_jaeger_trace_root_cause_compare/chat.jsonl,chat.jsonl,3692977,2618879,0cb05cf5465e7aa34a1eb4f2626d33f7ab678d0ad3e0f0a57d6f6bbddcd2db6e,2026-09-08T18:50:31Z,f0cae6c2
run1,DAV_task_17_jaeger_trace_root_cause_compare,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_17_jaeger_trace_root_cause_compare/results_manifest.txt,results_manifest.txt,2034,551,8436eef8239b78037911663397b148253036f2ea4d7d980eba04bb86ae441129,2026-09-08T18:31:10Z,b5e5849a
run1,DAV_task_17_jaeger_trace_root_cause_compare,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_17_jaeger_trace_root_cause_compare/score.json,score.json,39103,7250,3e0eb039b24d746232846da0a84bf02531fa6f7cca9edff7387deae325eef48a,2026-09-08T18:31:13Z,d0339ea6
run1,DAV_task_1_duckdb_query_optimize,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_1_duckdb_query_optimize/chat.jsonl,chat.jsonl,1592281,988537,21de589d6b3f78943f182f4c0377f57422fe43a8b47e5b83a5876ee8da348618,2026-09-08T18:50:36Z,1b82243e
run1,DAV_task_1_duckdb_query_optimize,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_1_duckdb_query_optimize/results_manifest.txt,results_manifest.txt,2372,655,debc43d9f37feb0c94060b287adb9b203fe52f071ea3208737ac69b126bb21f7,2026-09-08T18:31:16Z,dfb5a488
run1,DAV_task_1_duckdb_query_optimize,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_1_duckdb_query_optimize/score.json,score.json,45917,7609,555ab1c1f0d139f66592b4c3257d31668343292209b56d491686698a56bec420,2026-09-08T18:31:21Z,515adf76
run1,DAV_task_2_process_leak_diagnose,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_2_process_leak_diagnose/chat.jsonl,chat.jsonl,4047594,3038183,101aef9df913dc4c8e8fa57b30d233a90c76c0814e04306348c9ee9ad2738759,2026-09-08T18:50:40Z,dd3ff321
run1,DAV_task_2_process_leak_diagnose,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_2_process_leak_diagnose/results_manifest.txt,results_manifest.txt,428,162,97a23245c7199713e4db9064b9d0e8da5d97c439fa1c12bd7091abc9f8e5892e,2026-09-08T18:31:24Z,f9ccc68d
run1,DAV_task_2_process_leak_diagnose,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_2_process_leak_diagnose/score.json,score.json,10996,3511,e1de71c535b2809537523d487cdd1f7f650ace7eb429367b0dbdf80590d9015d,2026-09-08T18:31:26Z,0f83318f
run1,DAV_task_2_profiling_leakage_detect,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_2_profiling_leakage_detect/results_manifest.txt,results_manifest.txt,2023,526,9d27e8d7ca532702ad00afb38d72e33e1d603570e3e490b985dc6901f2b39387,2026-09-08T18:31:30Z,bb50dfac
run1,DAV_task_2_profiling_leakage_detect,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_2_profiling_leakage_detect/score.json,score.json,33955,6831,13a4541ac163f03a2d71afd7219ed452bfe21352958a0dda417430a76b3e56aa,2026-09-08T18:31:32Z,633ec098
run1,DAV_task_3_tensorboard_hparam_hunt,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_3_tensorboard_hparam_hunt/chat.jsonl,chat.jsonl,158989,76837,706079aec31dcd2846259521543ffa008a2ac27677870873328493a969f1f5c1,2026-09-08T18:50:43Z,ba1707c1
run1,DAV_task_3_tensorboard_hparam_hunt,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_3_tensorboard_hparam_hunt/results_manifest.txt,results_manifest.txt,597,171,03eb82edd36cee89c815990996c0534026ea7b16b84244829e5daa2c5556969e,2026-09-08T18:31:35Z,f09e6253
run1,DAV_task_3_tensorboard_hparam_hunt,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_3_tensorboard_hparam_hunt/score.json,score.json,28534,5243,ddb994e935ffcc9d5db14e881d8b2e9a29a15b8c30285fc8f0a98eb9de8b26ff,2026-09-08T18:31:37Z,40f09838
run1,DAV_task_4_streamlit_etl_repair,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_4_streamlit_etl_repair/chat.jsonl,chat.jsonl,5561941,3832320,a8925e47bc7c6b552f5a3736de7dc179542985e13af3ac758101f9f0b02ec18c,2026-09-08T18:50:47Z,9fa3834b
run1,DAV_task_4_streamlit_etl_repair,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_4_streamlit_etl_repair/results_manifest.txt,results_manifest.txt,3409,770,014f00cb9d385ddd9b64341c37258c70af7505119fd03673111302b8d0db70ae,2026-09-08T18:31:40Z,a167c1c7
run1,DAV_task_4_streamlit_etl_repair,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_4_streamlit_etl_repair/score.json,score.json,48644,9589,76e7eaa78c53619b3306d514676914bed8ea2fdd44604453e633bb6decdf4941,2026-09-08T18:31:42Z,0a0836a8
run1,DAV_task_5_clickhouse_slow_query_grafana,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_5_clickhouse_slow_query_grafana/results_manifest.txt,results_manifest.txt,1173,338,b363f4f5415ae3d8279cb9c54c6599b340c4f7f71cadd1ec71e959486ee45e94,2026-09-08T18:31:46Z,f759b2d9
run1,DAV_task_5_clickhouse_slow_query_grafana,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_5_clickhouse_slow_query_grafana/score.json,score.json,39927,6910,3f5ac0dc9c6f1f7e85f0893c956151bf5987deb9ba2605c58cd3e2ddac6f825a,2026-09-08T18:31:48Z,532bc978
run1,DAV_task_6_jupyterlab_cell_dep_hunt,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_6_jupyterlab_cell_dep_hunt/results_manifest.txt,results_manifest.txt,920,330,593356fa199d7f777ba225a1ebad74199fc88f5ad71f88fd1430de12525987c1,2026-09-08T18:31:50Z,dfe6d9ff
run1,DAV_task_6_jupyterlab_cell_dep_hunt,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DAV/DAV_task_6_jupyterlab_cell_dep_hunt/score.json,score.json,45426,8095,7951d15e152655c13c75b1a06929e4ace0d66b2fc438b901b4e8724bf9f8b386,2026-09-08T18:31:52Z,95900cc2
run1,DES_task_0_inkscape_vectorize_logo,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DES/DES_task_0_inkscape_vectorize_logo/chat.jsonl,chat.jsonl,14079353,10456284,d70a26d41cf42ee6bb25f3b84c7f95d224f12e5b43465faf09dc2ebf2107ac7b,2026-09-08T18:50:52Z,17650ef8
run1,DES_task_0_inkscape_vectorize_logo,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DES/DES_task_0_inkscape_vectorize_logo/results_manifest.txt,results_manifest.txt,1937,416,5f67f06983942faa79ce89ccd733f7155f492917b3a72ff2c211e1b93faa1199,2026-09-08T18:31:56Z,1e6e0091
run1,DES_task_0_inkscape_vectorize_logo,https://huggingface.co/datasets/wanlilll/weavebench-traj/resolve/main/gpt-5.4/deliver_low_run1.zip,results/gpt54_low_231/gui/gpt-5.4/DES/DES_task_0_inkscape_vectorize_logo/score.json,score.json,26831,5337,8220575b24599d8fecd98df8a720821c5406fb8640b5102dcabf5adb6b606140,2026-09-08T18:31:58Z,0efe6e87
